abbreviate,"축약하다, 단축하다","Please abbreviate your explanation to make it shorter.","설명을 축약해서 더 간결하게 만드세요."
accommodate,"수용하다","This hotel can accommodate 500 guests.","이 호텔은 500명의 손님을 수용할 수 있습니다."
accuse A of B,"B를 이유로 A를 고발하다","He was accused of stealing the money.","그는 돈을 훔친 혐의로 고발당했습니다."
acquaint,"익히다, 숙지하다","She took time to acquaint herself with the new system.","그녀는 새 시스템을 숙지하는 데 시간을 들였습니다."
adamantly,"확고하게","He adamantly refused to change his mind.","그는 확고하게 마음을 바꾸지 않겠다고 했습니다."
adequate,"적절한","The food was adequate for a small gathering.","그 음식은 작은 모임에 적절했습니다."
adhere,"고수하다","You must adhere to the rules of the game.","당신은 게임의 규칙을 고수해야 합니다."
adhesive,"점착성의","The adhesive tape stuck to the wall firmly.","점착 테이프가 벽에 단단히 붙었습니다."
alleviate,"줄이다, 완화하다","The medicine helped alleviate his pain.","약이 그의 고통을 줄이는 데 도움이 되었습니다."
amendment,"개정","The constitution underwent its first amendment.","헌법이 첫 번째 개정을 거쳤습니다."
anticipate,"예상하다","We anticipate heavy traffic during the holiday.","우리는 휴일 동안 교통 체증을 예상합니다."
approve,"승인하다, 찬성하다","The manager approved the budget proposal.","매니저가 예산 제안을 승인했습니다."
aspect,"면, 측면","We must consider every aspect of the plan.","우리는 계획의 모든 측면을 고려해야 합니다."
aspire,"열망하다","She aspires to become a great artist.","그녀는 위대한 예술가가 되기를 열망합니다."
assess,"평가하다, 감정하다","The teacher will assess the students' performance.","교사가 학생들의 성과를 평가할 것입니다."
assume,"맡다, 취하다","He will assume responsibility for the project.","그는 프로젝트의 책임을 맡을 것입니다."
assure,"보증하다, 안심시키다","I assure you that everything will be fine.","모든 것이 괜찮을 것이라고 보증합니다."
apparently,"외관상으로는, 분명히","Apparently, he is the most qualified candidate.","외관상으로는 그가 가장 적격인 후보입니다."
as to,"~에 관하여","There is no question as to his honesty.","그의 정직함에 관해서는 의문이 없습니다."
assign,"임무를 할당하다","The teacher assigned homework to the students.","교사가 학생들에게 숙제를 할당했습니다."
associate,"관련시키다","I associate the smell of cookies with my childhood.","저는 쿠키 냄새를 제 어린 시절과 연관시킵니다."
attendant,"안내원, 참석자","The attendant helped the visitors find their seats.","안내원이 방문객들이 좌석을 찾도록 도와주었습니다."
attentive,"주의 깊은, 경청하는","She was attentive during the lecture.","그녀는 강의 중에 주의 깊게 경청했습니다."
attraction,관광명소,"The Eiffel Tower is a famous tourist attraction.","에펠탑은 유명한 관광명소입니다."
attribute,~에 귀착시키다,"He attributes his success to hard work.","그는 자신의 성공을 노력 덕분으로 돌립니다."
banquet,연회,"The wedding banquet was held in a grand hall.","결혼 연회는 웅장한 홀에서 열렸습니다."
barring,"~이 없다면, ~을 제외하고","Barring unforeseen circumstances, the event will proceed as planned.","예기치 않은 상황이 없다면, 행사는 예정대로 진행됩니다."
be eligible for,~에 대한 자격이 있다,"You must have a degree to be eligible for this job.","이 직업에 지원하려면 학위를 소지해야 합니다."
be reluctant to,~하기를 꺼리다,"He was reluctant to share his personal information.","그는 자신의 개인 정보를 공유하기를 꺼렸습니다."
become acquaint with,~와 알게되다,"She became acquaint with the new software quickly.","그녀는 새로운 소프트웨어를 빠르게 익혔습니다."
belated,때늦은,"We wished her a belated happy birthday.","우리는 그녀에게 때늦은 생일 축하를 전했습니다."
bewilder,당황하게 하다,"The complex instructions bewildered the students.","복잡한 지시사항이 학생들을 당황하게 만들었습니다."
boast,자랑하다,"He boasted about his achievements.","그는 자신의 성과를 자랑했습니다."
by comparison,비교해 보면,"By comparison, this option is much cheaper.","비교해 보면, 이 옵션이 훨씬 저렴합니다."
cautious,"조심성 있는, 신중한","He was cautious while driving in the rain.","그는 비 오는 날 운전할 때 신중했습니다."
certificate,"자격증, 자격증을 교부하다","She received a certificate for completing the course.","그녀는 과정을 이수한 자격증을 받았습니다."
clarify,분명히 하다,"The teacher clarified the assignment instructions.","선생님이 과제 지시사항을 분명히 설명했습니다."
coincide,일치하다,"The festival coincides with my birthday.","축제가 제 생일과 일치합니다."
colleague,동료,"She asked her colleague for advice on the project.","그녀는 프로젝트에 대한 조언을 동료에게 요청했습니다."
commit,"전념하다, 헌신하다","He committed himself to completing the task on time.","그는 과제를 제시간에 끝내는 데 전념했습니다."
committable,위탁할 수 있는,"These funds are committable for community projects.","이 자금은 커뮤니티 프로젝트에 위탁될 수 있습니다."
devise,"궁리하다, 고안하다","The engineers devised a new system to improve efficiency.","엔지니어들이 효율성을 높이기 위해 새로운 시스템을 고안했습니다."
devote,~에 바치다,"She devoted her life to helping others.","그녀는 다른 사람들을 돕는 데 자신의 삶을 바쳤습니다."
discard,버리다,"He discarded the old papers from the drawer.","그는 서랍에서 오래된 종이들을 버렸습니다."
discerning,"식별력 있는, 안목 있는","She has a discerning eye for quality art.","그녀는 고품질 예술품을 식별할 줄 아는 안목이 있습니다."
disclose,"밝히다, 드러내다","The report disclosed important findings.","보고서가 중요한 발견을 밝혀냈습니다."
discourteous,무례한,"It was discourteous of him to interrupt the meeting.","회의를 방해한 것은 그에게 무례한 행동이었습니다."
discrepancy,"차이, 불일치","There was a discrepancy between the two reports.","두 보고서 사이에 차이가 있었습니다."
dispensable,없어도 되는,"These extra features are dispensable.","이 추가 기능들은 없어도 됩니다."
disperse,"해산시키다, 분산시키다","The police dispersed the crowd after the protest.","경찰이 시위 후 군중을 해산시켰습니다."
distinctively,"구별하여, 특징적으로","The building is distinctively modern in design.","그 건물은 디자인 면에서 특징적으로 현대적입니다."
distract,집중이 안 되게 하다,"The noise outside distracted her from studying.","밖의 소음이 그녀가 공부에 집중하지 못하게 했습니다."
diverge,"분기하다, 나눠지다","The paths diverge in the middle of the forest.","숲 한가운데에서 길이 나뉩니다."
dormitory,기숙사,"The students returned to the dormitory after classes.","학생들은 수업이 끝난 후 기숙사로 돌아갔습니다."
drastic,"강력한, 과감함","The company took drastic measures to cut costs.","회사는 비용을 줄이기 위해 과감한 조치를 취했습니다."
dwelling,"거주, 거처","The cave was once used as a human dwelling.","그 동굴은 한때 인간의 거처로 사용되었습니다."
ecology,생태학,"She is studying ecology to understand the environment better.","그녀는 환경을 더 잘 이해하기 위해 생태학을 공부하고 있습니다."
eloquent,"설득력 있는, 웅변력 있는","The speaker gave an eloquent speech about climate change.","연설자는 기후 변화에 대해 설득력 있는 연설을 했습니다."
emerge,"드러나다, 나타나다","New evidence has emerged in the case.","그 사건에서 새로운 증거가 드러났습니다."
emission,배출,"The factory reduced its carbon emissions by 20%.","그 공장은 탄소 배출량을 20% 줄였습니다."
emphasize,강조하다,"He emphasized the importance of teamwork in his presentation.","그는 발표에서 팀워크의 중요성을 강조했습니다."
endorsement,"배서, 보증","The product received an endorsement from a famous celebrity.","그 제품은 유명 연예인의 보증을 받았습니다."
endowment,"기증, 기부","The university received a generous endowment for its research programs.","그 대학은 연구 프로그램을 위해 관대한 기부를 받았습니다."
enhance,"강화하다, 높이다","The new policy aims to enhance employee satisfaction.","새 정책은 직원 만족도를 높이는 것을 목표로 합니다."
entrepreneurship,기업가 정신,"He studied entrepreneurship to start his own business.","그는 자신의 사업을 시작하기 위해 기업가 정신을 공부했습니다."
erect,세우다,"They erected a monument in honor of the fallen soldiers.","그들은 전사한 병사들을 기리기 위해 기념비를 세웠습니다."
essentially,본질적으로,"The two proposals are essentially the same.","그 두 제안은 본질적으로 동일합니다."
estranged from,~로부터 소원해진,"She felt estranged from her old friends after moving abroad.","그녀는 해외로 이사한 후 옛 친구들과 소원해졌다고 느꼈습니다."
ethic,윤리,"The company follows a strict work ethic.","그 회사는 엄격한 직업 윤리를 따릅니다."
evaluate,"평가하다, 감정하다","The teacher will evaluate the students' projects next week.","선생님은 다음 주에 학생들의 프로젝트를 평가할 것입니다."
exaggerated,과장된,"The news report was exaggerated to attract more viewers.","그 뉴스 보도는 더 많은 시청자를 끌기 위해 과장되었습니다."
exclusively,배타적으로,"This lounge is exclusively for VIP members.","이 라운지는 VIP 회원만을 위한 공간입니다."
exotic,이국적인,"The restaurant serves exotic dishes from around the world.","그 레스토랑은 세계 각국의 이국적인 요리를 제공합니다."
execute,"실행하다, 집행하다","The manager executed the plan flawlessly.","매니저는 계획을 완벽하게 실행했습니다."
expel,내쫒다,"The school decided to expel the student for cheating.","학교는 부정행위를 한 학생을 퇴학시키기로 결정했습니다."
expertise,"전문적 지식, 기술","Her expertise in marketing helped the company grow.","그녀의 마케팅 전문 지식은 회사가 성장하는 데 도움을 주었습니다."
exquisite,"정교한, 더없이 훌륭한","The artist created an exquisite painting of the sunset.","그 화가는 석양의 정교한 그림을 그렸습니다."
extension number,내선 번호,"Please dial extension number 123 to reach the manager.","매니저와 통화하려면 내선 번호 123번으로 전화하세요."
extensively,광범위하게,"The new product has been extensively tested before its release.","새 제품은 출시 전에 광범위하게 테스트되었습니다."
extent,"규모, 범위","The extent of the damage is still unknown.","피해 규모는 아직 알려지지 않았습니다."
extinctions,멸종,"Human activity has caused the extinction of many species.","인간 활동이 많은 종의 멸종을 초래했습니다."
extracurricular,"과외의, 정규 과목 이외의","She participates in many extracurricular activities, including drama and sports.","그녀는 연극과 스포츠를 포함한 많은 과외 활동에 참여합니다."
inclination,"경향, 기울어짐","He has an inclination to avoid conflict.","그는 갈등을 피하려는 경향이 있습니다."
incur,"초래하다, 발생시키다","The company incurred heavy losses during the pandemic.","그 회사는 팬데믹 동안 막대한 손실을 초래했습니다."
initiative,"솔선, 독창성","The government has launched a new initiative to promote education.","정부는 교육을 장려하기 위한 새로운 계획을 시작했습니다."
inquiry,"질문, 문의","We received an inquiry about our services yesterday.","어제 우리 서비스에 대한 문의를 받았습니다."
insolent,무례한,"His insolent attitude offended the guests.","그의 무례한 태도가 손님들을 불쾌하게 했습니다."
inspect,"면밀하게 살피다, 점검하다","The engineer inspected the building for structural issues.","엔지니어가 구조적 문제를 점검하기 위해 건물을 살폈습니다."
instance,"사례, 경우","This is just one instance of the many problems we face.","이것은 우리가 직면한 많은 문제 중 한 가지 사례일 뿐입니다."
instigate,"부추기다, 선동하다","The leader was accused of instigating violence.","그 지도자는 폭력을 선동했다는 혐의를 받았습니다."
intangible,무형의,"Happiness is an intangible quality that is hard to define.","행복은 정의하기 어려운 무형의 특성입니다."
intend to,~할 생각이다,"I intend to finish the project by next week.","나는 다음 주까지 프로젝트를 끝낼 생각입니다."
intensify,강화하다,"The storm is expected to intensify over the weekend.","폭풍은 주말 동안 강해질 것으로 예상됩니다."
intention,의도,"Her intention was to help, not to criticize.","그녀의 의도는 비판이 아니라 돕는 것이었습니다."
interim,임시의,"An interim report will be submitted by the end of the month.","임시 보고서는 이달 말까지 제출될 것입니다."
intriguing,흥미를 자아내는,"The book's intriguing plot kept me hooked until the end.","그 책의 흥미로운 줄거리가 끝까지 나를 사로잡았습니다."
iron things out,문제를 해결하다,"Let's iron things out before the meeting tomorrow.","내일 회의 전에 문제를 해결합시다."
irrigation,관개,"The farmers rely on irrigation to grow their crops.","농부들은 농작물을 재배하기 위해 관개에 의존합니다."
isolation,"고립, 고독","She lived in isolation for many years after the tragedy.","그녀는 비극 이후 오랫동안 고립된 생활을 했습니다."
itinerary,여행 일정표,"The travel agent sent us the itinerary for our trip.","여행사는 우리 여행의 일정표를 보내줬습니다."
keep clear of,~에서 떨어져 있다,"Keep clear of the construction area for your safety.","안전을 위해 공사 구역에서 떨어져 있으세요."
keep track of,~에 대해 파악하고 있다,"It's hard to keep track of all the changes in the project.","프로젝트의 모든 변화를 파악하는 것은 어렵습니다."
lapse,"착오, 실수","A lapse in judgment caused the accident.","판단 착오가 사고를 초래했습니다."
legnthy,"너무 긴, 장황한","The meeting was unnecessarily lengthy and unproductive.","회의는 불필요하게 길고 비생산적이었습니다."
lessen,"줄이다, 완화하다","The medication helped lessen his pain.","약이 그의 통증을 완화하는 데 도움을 주었습니다."
liable,"~하기 쉬운, ~할 것 같은","Drivers are liable to accidents in heavy rain.","운전자들은 폭우 속에서 사고가 나기 쉽습니다."
light refreshment,가벼운 다과,"They served light refreshments during the break.","그들은 휴식 시간 동안 가벼운 다과를 제공했습니다."
liquidate,"처분하다, 청산하다","The company decided to liquidate its assets to pay off debts.","회사는 부채를 갚기 위해 자산을 처분하기로 결정했습니다."
mandate,"명령하다, 요구하다","The new law mandates that all cars must be electric by 2035.","새 법은 2035년까지 모든 차량이 전기차여야 한다고 명령합니다."
manipulation,조작,"The data was found to be altered through manipulation.","데이터가 조작을 통해 변경된 것으로 밝혀졌습니다."
markedly,두드러지게,"Her performance has improved markedly since last year.","그녀의 성과는 작년 이후로 두드러지게 향상되었습니다."
meager,"부족한, 결핍된","The farmers struggled to survive on their meager earnings.","농부들은 부족한 수입으로 생존하기 위해 고군분투했습니다."
means,"수단, 방법","We need to find alternative means to solve this problem.","우리는 이 문제를 해결할 대체 수단을 찾아야 합니다."
merely,단지,"He was merely trying to help, not criticize.","그는 단지 돕고자 했을 뿐, 비판하려던 것이 아니었습니다."
merchandise,상품,"The store sells a variety of merchandise including clothes and electronics.","그 가게는 의류와 전자제품을 포함한 다양한 상품을 판매합니다."
meteorological,기상의,"The meteorological department issued a warning about the upcoming storm.","기상청은 다가오는 폭풍에 대해 경고를 발표했습니다."
meticulously,꼼꼼하게,"She meticulously reviewed the document before signing it.","그녀는 서명하기 전에 문서를 꼼꼼하게 검토했습니다."
minutes,"회의록, 의사록","The secretary recorded the minutes of the meeting.","비서가 회의록을 기록했습니다."
morale,사기,"The team's morale was high after their recent victory.","최근 승리 이후 팀의 사기가 높았습니다."
municipality,지방자치단체,"The municipality is responsible for maintaining local roads.","지방자치단체는 지역 도로 유지 관리를 책임집니다."
negligence,"부주의, 태만","The accident was caused by the driver's negligence.","그 사고는 운전자의 부주의로 인해 발생했습니다."
novice,초보자,"As a novice in photography, she still has a lot to learn.","사진 촬영 초보자로서 그녀는 여전히 배울 것이 많습니다."
numerically,수적으로,"The results are presented numerically in the report.","결과는 보고서에 수적으로 제시되어 있습니다."
prone,"~하기 쉬운, ~경향이 있는","Children are prone to catching colds in winter.","아이들은 겨울에 감기에 걸리기 쉽습니다."
proportion,비율,"A large proportion of the population supports the new policy.","인구의 상당 비율이 새 정책을 지지합니다."
prosperous,"번영하는, 번창한","The city became prosperous after the discovery of oil.","그 도시는 석유 발견 이후 번창하게 되었습니다."
provision,"조항, 공급","The contract includes a provision for early termination.","계약에는 조기 종료에 대한 조항이 포함되어 있습니다."
proximity,근접,"The hotel is in close proximity to the beach.","그 호텔은 해변과 가까운 거리에 있습니다."
puddle,웅덩이,"He accidentally stepped into a puddle while crossing the street.","그는 길을 건너다 웅덩이에 실수로 발을 디뎠습니다."
punctual,시간을 지키는,"She is always punctual for meetings.","그녀는 항상 회의에 시간을 잘 지킵니다."
pursue,"추구하다, 밀고 나가다","He decided to pursue a career in medicine.","그는 의학 분야에서 경력을 추구하기로 결정했습니다."
quote,인용하다,"She quoted a famous author in her speech.","그녀는 연설에서 유명 작가의 말을 인용했습니다."
raw materials,원자재,"The factory imports raw materials to produce goods.","그 공장은 제품 생산을 위해 원자재를 수입합니다."
reconcile,화해시키다,"They finally reconciled after years of conflict.","그들은 오랜 갈등 끝에 마침내 화해했습니다."
rectify,"고치다, 바로잡다","The company worked to rectify the errors in their system.","회사는 시스템의 오류를 바로잡기 위해 노력했습니다."
reference,추천서,"You need to provide at least two references for the job application.","그 직업 지원을 위해 적어도 두 개의 추천서를 제공해야 합니다."
refrain from ~ing,"~을 그만두다, 삼가다","Please refrain from smoking in this area.","이 지역에서는 흡연을 삼가 주세요."
regulate,"규제하다, 조정하다","The government aims to regulate emissions from factories.","정부는 공장의 배출가스를 규제하는 것을 목표로 합니다."
reimburse,"변상하다, 환급하다","The company will reimburse you for travel expenses.","회사가 여행 경비를 변상할 것입니다."
rein,억제하다,"You need to rein in your spending habits.","당신은 소비 습관을 억제해야 합니다."
relevant,관련된,"This document is highly relevant to our discussion.","이 문서는 우리의 논의와 매우 관련이 있습니다."
relieve,경감하다,"The medication helped relieve his headache.","약이 그의 두통을 경감하는 데 도움을 주었습니다."
reluctant,"꺼리는, 주저하는","She was reluctant to accept the offer.","그녀는 그 제안을 받아들이기를 꺼렸습니다."
remedy,바로 잡다,"We need to find a remedy for this situation.","우리는 이 상황을 바로잡을 방법을 찾아야 합니다."
remit,"송금하다, 면제하다","He promised to remit the payment by next week.","그는 다음 주까지 송금을 약속했습니다."
reoccurrence,재발,"The doctor is trying to prevent the reoccurrence of the disease.","의사는 질병의 재발을 막기 위해 노력하고 있습니다."
respective,각각의,"The participants returned to their respective homes after the event.","참가자들은 행사 후 각각의 집으로 돌아갔습니다."
respirator,인공호흡장치,"The patient was put on a respirator to help them breathe.","환자는 호흡을 돕기 위해 인공호흡장치를 착용했습니다."
retail,"소매의, 소매하다","The store specializes in retail sales of electronic goods.","그 가게는 전자 제품의 소매 판매를 전문으로 합니다."
retain,보관하다,"The company will retain the records for future reference.","회사는 기록을 보관하여 나중에 참조할 예정입니다."
retrieve,회수하다,"She managed to retrieve her lost wallet from the bus station.","그녀는 버스 정류장에서 잃어버린 지갑을 회수했습니다."
revise,"정정하다, 수정하다","The author decided to revise the manuscript before publishing.","저자는 출판 전에 원고를 수정하기로 결정했습니다."
ridicule,비웃다,"They ridiculed him for his strange outfit.","그들은 그의 이상한 옷차림을 비웃었습니다."
rigorous,"엄격한, 혹독한","The school has a rigorous academic program.","그 학교는 엄격한 학업 프로그램을 운영합니다."
rural,시골의,"She enjoys the quiet and peace of rural life.","그녀는 시골 생활의 조용함과 평화를 즐깁니다."
sanctions against,~에 대한 제재,"The government imposed sanctions against the neighboring country.","정부는 이웃 나라에 제재를 부과했습니다."
secure a patent,특허를 획득하다,"The company managed to secure a patent for their new technology.","그 회사는 새로운 기술에 대해 특허를 획득했습니다."
shred,"잘게 자르다, 찢다","He shredded the confidential documents to protect the information.","그는 정보를 보호하기 위해 기밀 문서를 잘게 찢었습니다."
shrub,관목,"The garden is filled with colorful flowers and shrubs.","정원은 형형색색의 꽃과 관목으로 가득 차 있습니다."
significant,"상당한, 의미있는, 중대한","The study revealed significant improvements in patient health.","그 연구는 환자 건강에서 상당한 개선을 보여주었습니다."
sparsely,"희박하게, 드문드문","The area is sparsely populated with only a few small villages.","그 지역은 몇몇 작은 마을만 드문드문 분포해 있습니다."
specify,명시하다,"The contract specifies the terms of payment clearly.","계약서는 지불 조건을 명확히 명시하고 있습니다."
